country,question,mean_wave_1,mean_wave_7,change_direction,change_magnitude,t_statistic,p_value
KOR,A034,0.061855670103092786,0.5236947791164659,Increase,0.4618391090133731,-28.620075937608323,7.131581614448282e-150
KOR,A009,2.8544502617801046,1.942971887550201,Drop,-0.9114783742299037,26.994038521873147,3.8038273105607734e-129
MEX,A098,0.25639629831246596,0.8212643678160919,Increase,0.5648680695036259,-23.222425126857136,2.4766881771052535e-110
AUS,A030,0.11889250814332247,0.4379481522338665,Increase,0.31905564409054404,-21.451295498651678,3.6735678057975645e-95
JPN,A039,0.24667774086378738,0.6326681448632668,Increase,0.3859904039994795,-21.366131679935776,2.5219156430223133e-93
KOR,A173,5.099671412924425,6.9847389558232935,Increase,1.8850675428988684,-22.072151292224397,7.752587934491035e-93
ARG,A041,0.06965174129353234,0.44865403788634095,Increase,0.3790022965928086,-21.477025263796552,2.2243918598150692e-89
JPN,A034,0.11212624584717608,0.4028085735402809,Increase,0.2906823276931048,-18.003853364895463,5.808154944060449e-68
KOR,A032,0.5412371134020618,0.8755020080321285,Increase,0.3342648946300667,-18.02596607820443,2.8200364406993464e-66
MEX,A038,0.11867174741426238,0.35825186889016675,Increase,0.23958012147590435,-17.4154518550212,8.23007713676659e-65
AUS,A027,0.5268729641693811,0.8229453943739659,Increase,0.29607243020458474,-17.5819112416664,8.829239360001859e-65
KOR,A170,5.334750265674814,6.7269076305220885,Increase,1.3921573648472743,-17.822537997601504,2.668109612964133e-64
AUS,A100,0.18078175895765472,0.5880044843049327,Increase,0.407222725347278,-16.969994174698797,1.0891870435438965e-61
MEX,A035,0.3946652150244965,0.6657093624353819,Increase,0.27104414741088545,-16.873846716596518,1.5886684038244307e-61
AUS,A039,0.17996742671009772,0.444015444015444,Increase,0.2640480173053463,-16.486401559434352,1.638497374487572e-58
MEX,A009,2.5839779005524863,2.1242093156986774,Drop,-0.4597685848538089,16.32264707091313,8.388911905936413e-58
MEX,A124_06,0.0,0.13536866359447006,Increase,0.13536866359447006,-16.481370582645074,8.236710362252301e-57
AUS,A029,0.24511400651465798,0.5201323772752344,Increase,0.27501837076057645,-16.190254639809687,1.742359513765948e-56
